ITEM_ID,ITEM_NAME,CATEGORY_L1,USER_ID
363a0c5c-998b-4f66-85a0-21704d91f4c6,Gray Coffee Table,furniture,3906
e6acc24d-9e56-478f-ba8f-5b9f7924065e,Elegant Ceramic Bowl,housewares,3906
d0cb72b7-f819-432e-8492-9bc8b7692043,Sienna Office Chair,furniture,3906
36ba2aec-a64e-4ac5-911d-a36cbbfa83bf,Perfect cushions,homedecor,3906
c79d70a4-118a-4ec4-8d92-35a489912c27,Black Sofa,furniture,3906
2f2995da-4768-478a-a4ae-906b76d8c6fe,Glass Vase,homedecor,3906
ccdf737c-c4fd-4c78-abd2-d5ef0428ef20,Wine Glass,housewares,3906
9a34152c-8be3-43f6-869f-6829a699c638,Wine Glass,housewares,3906
4619e224-6397-4729-8941-c867a2b83870,Lovely Ceramic Bowl,housewares,3906
8c66f6d3-85de-4cff-bc4a-f05e34587813,Taper Candle,homedecor,3906
328a7f6b-238d-4165-9949-5e0aa70b7200,Light Gray Dining Chair,furniture,3906
e80950d7-b0f8-473d-a06f-c5ec49219001,Black Worktable,furniture,3906
c2af1853-e251-4ed4-ac53-e686a5d5c6c5,Ceramic Vase,homedecor,3906
073c7282-51c3-4a6e-a27a-2a166d817cf6,Wall Clock,homedecor,3906
21ea0edc-1984-4f79-a6af-b2d1135471b5,Light Gray Dining Chair,furniture,2013
0bb3928f-adff-452e-97d8-b199b14d134f,Hip Sandals,footwear,2013
e7af1dbd-4ab2-4201-b70f-1a52e4ea9250,Brown Shoes,footwear,2013
a289ca2c-0135-4864-a710-865d4cf604d8,Groovy Bracelet,jewelry,2013
c4b0c69d-313e-42e3-8c9d-5965020b29e4,Sienna Boots,footwear,2013
2ed4b6f8-5d37-480e-9469-4ea26f475716,Black Sneakers,footwear,2013
28762499-dd36-4b23-96d3-db3eeeaed548,Perfect grey sofa,furniture,2013
f1458cf0-e8a8-46f8-981a-5e0b74c87e92,dapper Necklace,jewelry,2013
043ae9af-556e-4ac9-b2ce-9c97071d4d08,Light Slate Gray Work Table,furniture,2013
6dc07033-24b9-4467-bd32-31a2e9ccb404,Dandyish Bracelet,jewelry,2013
a87aa681-f9bb-48a7-9d79-4aafc7b6d6db,Light Gray Accent Table,furniture,2013
43dbbd80-b7f7-44c0-a942-e144006cc020,White Sofa,furniture,2013
53c51962-3546-4c9c-b88e-fe287c94782f,Black Shoes,footwear,2013
f1eb9d5b-94d8-4c3d-bf0b-3cad66c5f58e,Fashionable Belt,accessories,2140
b2acb802-2873-4604-87ae-4f01f1dafb80,Dark Slate Gray Coat,apparel,2140
4c7ab4e5-2028-409c-9b68-afb2a7dc68be,Leather Handbag,accessories,2140
c424e679-0da2-4d81-afb8-f9dc5d21ce83,Black Jacket,apparel,2140
b7f0c7f6-3d88-4dda-a6ab-ba3a29502642,Striped Tee,apparel,2140
73d9a14d-0fa0-44ca-b367-e4f9af3986ed,Black Backpack,accessories,2140
77165ec4-e965-47b2-adbc-5d0e519c00ed,Dark Slate Gray Backpack,accessories,2140
bde65f09-635c-4293-97c0-063d101f9efe,Dodger Blue Jacket,apparel,2140
c9864541-b1a9-45a5-9304-e6782843a9c1,Brown Boots,footwear,2140
16b82c88-5a5b-4ed6-b136-6969fae2c280,Beige And Black Shoes,footwear,2140
65c20b6c-7c1b-4f82-bd05-302f83e8cd55,Black Winter Suit,apparel,2140
d06df410-174c-4ef7-abcd-478f206f335f,Outstanding Socks,apparel,3993
b55e794f-1137-4de2-bcea-806041e080e6,Visit China,books,3993
f2e66204-c339-434b-b0ae-b6cb6d815756,Glass Vase,homedecor,3993
b58b6838-04f7-4d13-bd35-633883f94a11,Quintessential Scarf,apparel,3993
e53a6570-3a3f-4ca8-b6dc-8ff378bca757,Visit Sweden,books,3993
a7aeba8c-1feb-4f9c-94d8-031612c55fb8,Visit Russia,books,3993
0e28a5ca-0b34-43ac-b178-42b81225d9da,Rattan Basket,homedecor,3993
4f13bb6a-20f0-4067-a33d-6585b3cd26f2,Chinese Cuisine,books,3993
316d4b5e-6b0a-407e-8eb8-174eca95dc65,Striped Tee,apparel,3993
b03a9d18-3bd9-4d1c-9ebb-2d94cad7c7cc,Ligth Blue Denim,apparel,3993
dd631e85-6b31-47af-bf6e-cbe792353ae1,Powder Blue Rectangular Cushion,homedecor,3993
6077dc55-683e-4261-9397-df2c615811a8,First-Class Scarf,apparel,3993
b740e07e-f890-4ace-8c97-4dc4cf1d173b,French Cuisine,books,3993
8ac8be2d-9199-4d71-ac9e-0fa9e815b453,Wiker Basket,homedecor,3993
0a10f3b7-b91b-4b68-96a6-bfb6cc348095,Rattan Basket,homedecor,3993
9f32c911-f282-4d71-b70d-30f6d5630a35,Handy Cable,electronics,3969
3525bbf7-dc07-4b4f-b0e7-5874f564655c,Acoustic Drum,instruments,3969
0d6b29df-c5a6-4785-890a-e01bd433644b,Keyboard,instruments,3969
ab704911-0afe-4c60-bf22-134c9e45f6d5,Convenient Cable,electronics,3969
94610697-2580-432a-8479-ee19686df56c,Acoustic Drum,instruments,3969
e093925f-ea8c-4409-a00f-3d725cc463fb,Swedish Cuisine,books,3969
3b7f5d4a-fa55-4a8d-a569-1e1f84462112,Electric Bass,instruments,3969
ec02b332-05a5-40dd-ae9d-2b0672baaa6e,Visit Japan,books,3969
0cb3ab29-b939-4732-b8ac-72ec61a4f950,Camera,electronics,3969
5e1679f5-2a52-44be-8453-760bf61d43b4,French Cuisine,books,3969
b4a323f8-0571-4bde-afe7-a27bc5394603,Accurate Headphones,electronics,3969
e727caad-132c-48d2-bd7f-131c99745b24,Keyboard,instruments,3969
0016fde3-0910-4cc1-8ef6-90e15f271073,Farmed Salmon For Sushi,groceries,133
8c818e1b-69bd-4c92-9e93-08965146fc1f,Upright Piano,instruments,133
3999c48f-4ccf-463b-8e0b-f28dcdc469d1,Grand Piano,instruments,133
942c213e-5571-43a0-9234-90826047a8b1,Cymbal,instruments,133
18465f60-709e-4ab1-add2-2d8e677e16a0,Foolproof Fishing Lure,outdoors,133
e48a456e-bf9c-4750-976f-1e66db61b7b9,Tomato,groceries,133
55f532d2-3067-4b48-9186-aba676681dfc,Reliable Fishing Reel,outdoors,133
4a77b485-0fe7-4391-9ca2-6a29fa10574e,Acoustic Drum,instruments,133
7ca458ba-184b-4243-bc9c-576ec9a2315e,Kayak,outdoors,133
a835dad2-1935-40a4-a32d-da112fafc3a3,Foolproof Fishing Reel,outdoors,133
bedf4979-a4ee-40b5-a6a6-58957977ea65,Electric Guitar,instruments,133
25a3547f-4a86-46f5-857a-fc17aa2b8fa0,Kayak,outdoors,133
b1374b6e-ece9-4db4-bfa3-7dbae826b454,Crab,groceries,133
6ac572ca-2b0a-4ad4-8505-9ab1cfa35e93,Cauliflower,groceries,133
898401f5-771d-40c8-a4b5-a230c0bb68a5,Slate Gray Shirt,apparel,3789
3eeaa0d2-b2bf-44d6-83cf-0bd1cb7d32f3,Denim Overcoat,apparel,3789
ae9a56ef-5dca-4ee9-b671-aaac2521613e,Knife,tools,3789
072ded32-2903-4f35-9f28-d6284c5f5605,Charger Plates,housewares,3789
59a91997-1077-4df0-97a7-0d05dea0042b,Saw,tools,3789
d892b64c-e2cd-412e-9cbc-9ae8fff7aca9,Hammer,tools,3789
89b22997-f0a4-4846-9683-2d10f65bb45a,Hammer,tools,3789
ea8abbc7-cc37-45df-b0f6-03961761c823,Beer Glass,housewares,3789
e66109bf-9ad5-430a-90e5-900c00119f39,Dutch Oven,housewares,3789
a11ef46f-dedf-48c8-94b0-3c9572608c5f,Hip Scarf,apparel,3789
cc1324d2-c85e-4f29-8ae8-08e38c0e1db8,Drill,tools,3789
7684731e-eca7-4679-8425-ba8ffe0aa057,Gray Plates,housewares,3789
ddb21847-ca9b-45ec-b7fc-4cf3409ffda7,Fashionable Scarf,apparel,3789
b3bd72c3-ab64-44d3-a6f9-2532c16aa849,Fancy Ceramic Bowl,housewares,3789
18feeda6-063d-46b0-b0aa-86c514d8151f,Dark Slate Gray Jacket,apparel,3789
006fc931-62fd-4096-b7c1-809500dbd1ac,Broccoli,groceries,343
78770acc-562f-42a9-89fb-22bf5b6b60a2,Saddle Brown Bag,accessories,343
5c7c00f5-37fa-4fab-95f8-f6982401f762,Visit Sweden,books,343
fec114d1-6db3-41e3-a608-fc59313954c5,Croissant,groceries,343
5fd9f9b7-e6e4-468d-93b8-fa984f66cde3,Turkish Cuisine,books,343
5723f368-aae1-4504-b5b6-3efbc47497cc,Grapes,groceries,343
47404fab-577a-4691-8277-6de9ab87ea15,Beef,groceries,343
588161af-cace-4854-889d-0a2258545cb5,Funky Watch,accessories,343
704532b6-1007-476b-86ee-0258f28edc49,Ultracool Watch,accessories,343
cb12324e-4a35-4c97-a5ec-b14424bb1570,Peru-Orange Bag,accessories,343
884493c5-4885-46e7-b3c0-d19bdde024e6,Squash,groceries,343
1f86f829-3fd7-4f4e-8003-5702c52a5034,Groovy Glasses,accessories,343
9f32c911-f282-4d71-b70d-30f6d5630a35,Handy Cable,electronics,5132
6931a1b1-26cd-4bab-8934-535374636e8f,Tested Fishing Lure,outdoors,5132
9b37c048-ae78-4095-9c27-5be95dbf5e3f,High Fidelity Headphones,electronics,5132
65b3bc05-4d84-48ef-ba0f-ce12301643c7,Black Sneakers,footwear,5132
c621da57-cc0f-4004-a975-6b08f28d0d60,Paddle,outdoors,5132
22b5146f-385d-4f6c-bc8c-8f31cf53f7c9,High Definition Speakers,electronics,5132
4941c536-ec23-481f-ae99-ec432d1ef35b,Reliable Fishing Lure,outdoors,5132
326a1ec5-9de2-4acb-920a-2b38df25aeb1,Camera,electronics,5132
54158f12-a839-466b-afbc-7c8788c9fd85,Firebrick Sneakers,footwear,5132
ee005c55-1cbd-420e-b227-d41a49e87ed3,Camping Lamp,outdoors,5132
3b3193de-6fa5-43e1-a322-50cf043d9480,Dark Slate Gray Sneakers,footwear,5132
80939475-9029-41f4-a178-f34ba9d5942b,Green Sneakers,footwear,5132
65439d96-79d7-41e2-bea7-6e98c0f204c0,Video Camera,electronics,5132
7885a4d9-2f1e-4cc4-b52f-82592f4caabd,Raspberry,groceries,1823
bac8c61d-dd0e-42f1-8c9b-004ae7e64131,Cheese,groceries,1823
d843fe25-e7d1-40fb-84b0-64bdedf9bed6,Christmas Ornament,seasonal,1823
ba0c2cb6-26b8-488f-81ad-0fa52eb04940,Axe,tools,1823
a9d41cae-8d0b-40e9-b198-d18dc0b81158,Christmas Ornament,seasonal,1823
56e24d72-d09a-4ec5-8da9-d840c9f4795f,Set,tools,1823
d27b5683-8bcd-4c9d-a641-a8fe6b00f610,Chillies,groceries,1823
dfee5337-9791-4d76-b4e3-7b9ea3825dfe,Atlantic Salmon,groceries,1823
cf4ea7c0-c24a-42d1-a72f-d2b8598e1274,Christmas Ornament,seasonal,1823
ba96fabb-220e-40f4-8999-c270f8d06a90,Christmas Ornament,seasonal,1823
812b315c-fb4b-4103-8911-95968f9cc6c0,Christmas Wreath,seasonal,1823
386fe76e-5573-45ae-8474-64afbd48e1b3,Beef,groceries,1823
